,pain,completion,time,ex
0,1.0,1.0,0.6611248507122655,11.0
1,1.0,1.0,0.9258207663485098,0.0
2,1.0,0.0,1.079786707499923,4.0
3,1.0,0.0,1.5382455632370675,6.0
4,1.0,1.0,1.3974407006212775,10.0
5,1.0,0.0,0.8460348705016582,7.0
6,0.0,0.0,1.075705410908656,11.0
7,1.0,1.0,0.8830670263389219,1.0
8,1.0,0.0,0.7900775025719858,2.0
9,0.0,0.0,0.9320653490295839,7.0
10,0.0,0.0,0.976960111987786,1.0
11,1.0,0.0,1.1610480195811244,9.0
12,0.0,1.0,0.9135621848984861,2.0
13,1.0,1.0,0.9832176381321657,8.0
14,0.0,1.0,1.3065715487481289,3.0
15,1.0,1.0,0.8134689676610926,5.0
16,1.0,0.0,0.6539983841904292,0.0
17,1.0,0.0,1.2510021132225821,12.0
18,1.0,1.0,0.5789720110027788,10.0
19,0.0,0.0,0.8830738213551534,4.0
20,1.0,0.0,0.92089045637992,3.0
21,0.0,0.0,0.6724121955257998,2.0
22,1.0,0.0,0.6092718519296836,4.0
23,0.0,0.0,1.0460550327054332,8.0
24,0.0,1.0,0.9543121454520779,5.0
25,1.0,0.0,1.263849028656264,12.0
26,0.0,1.0,0.8424507462617531,11.0
27,0.0,0.0,1.0310268618005,10.0
28,1.0,0.0,1.0892488898300285,10.0
29,1.0,0.0,0.40848113665757113,10.0
30,1.0,1.0,0.6462986306197805,11.0
31,1.0,1.0,1.0082616963350302,8.0
32,0.0,0.0,0.8127377162153208,2.0
33,1.0,0.0,0.9772714675770765,1.0
34,1.0,1.0,1.0756978375899553,2.0
35,1.0,1.0,1.0770009921409616,8.0
36,1.0,1.0,1.4757026366305912,8.0
37,0.0,0.0,1.4423420808982705,1.0
38,0.0,1.0,1.4706404914085867,3.0
39,0.0,0.0,1.150895216473607,5.0
40,1.0,0.0,1.300638614722849,6.0
41,0.0,0.0,0.8179533006953805,12.0
42,1.0,0.0,0.9990155599263153,12.0
43,1.0,0.0,1.1620025002752892,5.0
44,1.0,1.0,1.1680449915983564,11.0
45,0.0,0.0,1.187849233072305,3.0
46,1.0,1.0,1.4582059214312804,7.0
47,1.0,0.0,0.8198365560238948,9.0
48,0.0,1.0,0.953100989786917,8.0
49,1.0,0.0,1.3341607703266574,9.0
50,0.0,1.0,1.248786695050318,4.0
51,0.0,0.0,0.9763433814773254,8.0
52,1.0,0.0,1.1611244156872045,7.0
53,1.0,0.0,0.977841499709612,4.0
54,1.0,1.0,1.1770866732179583,5.0
55,1.0,1.0,1.2880127155044911,3.0
56,1.0,0.0,1.6826072962118817,1.0
57,1.0,1.0,0.9466471997551301,4.0
58,0.0,1.0,1.3896100691541846,2.0
59,1.0,1.0,1.1404030477349432,2.0
60,1.0,1.0,1.1275881451543475,0.0
61,0.0,1.0,1.2499078151934386,3.0
62,1.0,0.0,1.1878121088867326,3.0
63,1.0,0.0,0.7775027206498671,2.0
64,1.0,1.0,0.8824523554709653,2.0
65,1.0,1.0,1.1294306863403272,4.0
66,1.0,0.0,1.0200617071126417,4.0
67,1.0,0.0,0.6655827084228548,4.0
68,0.0,0.0,1.0371066991453677,6.0
69,0.0,1.0,1.087525289322639,10.0
70,1.0,1.0,1.108333119639495,9.0
71,1.0,1.0,0.8635907100985906,2.0
72,0.0,0.0,0.8758823358707336,5.0
73,0.0,0.0,1.0951639176982964,10.0
74,0.0,0.0,0.916989676238227,7.0
75,0.0,0.0,0.9628662755977205,5.0
76,1.0,0.0,1.0656054395511427,5.0
77,0.0,0.0,0.9879512372910542,1.0
78,1.0,1.0,0.45196645903797955,1.0
79,1.0,1.0,1.3874033480564745,0.0
80,0.0,1.0,1.1668132735768673,6.0
81,1.0,1.0,1.086166943654113,2.0
82,0.0,0.0,0.526385106864393,5.0
83,1.0,1.0,1.0377319379920102,3.0
84,1.0,1.0,1.0311848056878412,5.0
85,1.0,0.0,1.3448481015062947,3.0
86,0.0,1.0,0.9027322023741811,8.0
87,1.0,0.0,1.0430730363756502,2.0
88,0.0,0.0,1.3927653521883068,5.0
89,1.0,0.0,0.8526150307211399,12.0
90,0.0,1.0,0.7120873024678571,12.0
91,0.0,0.0,1.2165619121456441,3.0
92,1.0,0.0,0.39633589685927345,1.0
93,1.0,1.0,0.8387961521961117,7.0
94,0.0,1.0,0.9084224244104904,5.0
95,1.0,1.0,0.6182439547196823,7.0
96,0.0,0.0,0.8857564279654052,11.0
97,0.0,1.0,0.9159126065545826,9.0
98,1.0,0.0,1.1732796111130535,10.0
99,1.0,0.0,0.989502801618611,7.0
100,1.0,0.0,1.2209677115824673,1.0
101,0.0,0.0,1.0036185349714266,0.0
102,1.0,1.0,0.7275214091708259,10.0
103,0.0,0.0,1.5443853485993477,10.0
104,0.0,0.0,1.1828966096834757,2.0
105,0.0,0.0,1.38508170721082,3.0
106,1.0,0.0,1.2105896721532323,2.0
107,0.0,1.0,0.9971468952946424,6.0
108,0.0,1.0,0.9960742072691657,1.0
109,1.0,1.0,0.9335432302442086,7.0
110,0.0,0.0,1.0779153356612505,5.0
111,1.0,0.0,1.2333621956538745,3.0
112,0.0,0.0,1.0711526397199598,10.0
113,1.0,0.0,0.8904780531401044,7.0
114,0.0,0.0,1.2335872455170285,5.0
115,1.0,0.0,0.8913927129490927,1.0
116,1.0,1.0,1.0396751166362102,10.0
117,1.0,0.0,0.8275996826552577,3.0
118,0.0,1.0,0.9487540921115613,3.0
119,0.0,0.0,1.2157225450823281,9.0
120,1.0,1.0,0.9664967879884396,7.0
121,1.0,0.0,0.7482355411127086,1.0
122,0.0,0.0,1.4983042809570652,2.0
123,1.0,1.0,1.3667712021532856,1.0
124,1.0,0.0,0.6761080040359929,6.0
125,1.0,1.0,0.8468245117858573,8.0
126,0.0,1.0,1.1832888784577598,9.0
127,1.0,0.0,1.0557277416328492,10.0
128,0.0,1.0,0.9167704695493296,11.0
129,1.0,0.0,1.2996070993234579,12.0
130,1.0,0.0,0.9561661168423993,5.0
131,1.0,1.0,0.42892768077172,3.0
132,0.0,1.0,0.8350582413461298,1.0
133,1.0,1.0,0.563563937093029,2.0
134,1.0,0.0,0.7330897089797997,12.0
135,1.0,0.0,0.6334827294478939,9.0
136,1.0,1.0,1.422547406490648,8.0
137,1.0,0.0,0.8076679101895867,8.0
138,0.0,1.0,1.1837963498817796,11.0
139,1.0,0.0,0.804870459411011,10.0
140,0.0,1.0,0.8242679010290208,9.0
141,1.0,1.0,1.0068302797433264,4.0
142,0.0,0.0,0.8901140123498832,12.0
143,0.0,0.0,1.228385239381884,2.0
144,1.0,0.0,0.744986411571937,6.0
145,1.0,0.0,0.8458972678712732,2.0
146,0.0,1.0,1.2571082442928327,12.0
147,0.0,0.0,1.008594748345612,7.0
148,1.0,0.0,0.13903337401935176,2.0
149,0.0,0.0,1.1915691907897967,6.0
150,1.0,0.0,1.096314317369686,10.0
151,1.0,1.0,1.4801513029984166,12.0
152,1.0,0.0,1.3461106996875445,4.0
