,pain,completion,time,ex
0,1,1,2.514870232492355,10
1,1,1,2.539646512682907,4
2,0,1,1.864306406791632,1
3,1,1,1.6897611376112511,6
4,1,1,2.260905748878286,1
5,0,1,1.3287164549103367,12
6,0,0,3.0153290177998895,5
7,0,1,2.916308180160204,7
8,0,0,1.2809633818128343,12
9,1,0,2.5834820489763435,11
10,0,0,1.7824127461887103,12
11,0,0,2.7544268565612637,7
12,0,0,1.602244065601074,1
13,0,0,2.3330143710037357,4
14,1,0,3.1167960407894926,8
15,1,0,2.512507233917218,3
16,1,1,1.0242399111767186,12
17,1,0,2.188001018904273,8
18,0,1,3.0829935645822215,0
19,1,1,2.636761635886318,9
20,1,1,1.8845066415456764,12
21,0,0,1.9452593904746653,9
22,0,1,2.357255537642736,7
23,1,0,1.7775051262274622,5
24,1,0,2.022559660003702,10
25,1,1,2.2665547489022755,0
26,1,1,1.9281330917346842,8
27,0,0,3.0164165572320183,11
28,0,0,1.4960650706252228,8
29,0,1,2.545461529571738,11
30,1,1,2.119167501852011,9
31,0,0,1.8866882355838372,7
32,1,1,2.8798366097987267,4
33,0,0,2.02572621466506,3
34,0,1,1.16998464160789,6
35,1,1,1.8836835300468944,6
36,0,0,0.8623894406817785,11
37,1,0,1.584609794980018,5
38,1,1,1.2738414608141255,2
39,0,1,2.467240764754107,1
40,0,0,2.29232052521189,9
41,1,0,2.8081677639216274,3
42,0,0,2.100942431714663,3
43,0,1,2.104580936606789,7
44,1,1,2.47295268395119,2
45,0,1,1.3321369617283387,3
46,0,1,1.296539593537985,4
47,1,0,2.142443821274988,9
48,0,0,2.5746307323258066,2
49,0,1,2.143327820854952,12
50,1,0,1.9200438332647014,5
51,0,1,1.589191505972816,2
52,1,1,2.115032563289455,12
53,0,1,1.4661832870299896,5
54,0,1,1.756682267034955,10
55,1,1,2.5624081201912285,11
56,0,1,1.6963216740557567,5
57,1,1,1.9315270899076298,3
58,0,0,2.1917946795698855,10
59,1,1,2.618730885887243,5
60,0,0,1.244376674690982,10
61,1,1,1.1987102564888363,1
62,1,1,2.4130819400601182,2
63,0,1,1.7839126905080795,8
64,1,0,2.183819112608619,2
65,0,1,2.842370466809677,3
66,1,1,2.232472102599425,8
67,1,1,2.475710610845867,2
68,0,0,2.6991717531222705,7
69,0,0,1.6557086344920446,4
70,1,1,1.4503094383106594,5
71,0,0,1.59686161893952,10
